name,source,capacity(MW),assigned_term,lat,lon,sh_pp_agg,idx
Block E4 - Rauchgasentschwefelung,coal,301.0,ElmTerm_0411,7.706357689648909,51.27858033373516,POINT (7.706357689648909 51.27858033373516),SM_0121
Kraftwerk Schwammenauel,hydro,14.0,ElmTerm_0346,6.300901280667953,50.828953221312766,POINT (6.300901280667953 50.82895322131277),SM_0122
Biomasse-Verstromungsanlage Hagen-Kabel,biomass,20.0,ElmTerm_0334,7.505979853468062,51.40160122854462,POINT (7.505979853468062 51.40160122854462),SM_0123
Biomasse-Kraftwerk Bergkamen,biomass,20.0,ElmTerm_0437,7.618669070844216,51.63768206356135,POINT (7.618669070844216 51.63768206356135),SM_0124
,solar,11.0,ElmTerm_0447,6.920130484900927,49.97058190589136,POINT (6.920130484900927 49.97058190589136),SM_0125
Kraftwerk Boehringer Ingelheim,biomass,12.4,ElmTerm_0463,7.815719937013512,49.92207811962771,POINT (7.815719937013512 49.92207811962771),SM_0126
ABB 12 E2 Gasturbine,gas,162.0,ElmTerm_0460,8.408288764401028,49.528623522454346,POINT (8.408288764401028 49.52862352245435),SM_0127
,gas,72.0,ElmTerm_0460,8.408288764401028,49.528623522454346,POINT (8.408288764401028 49.52862352245435),SM_0128
,gas,180.0,ElmTerm_0460,8.408288764401028,49.528623522454346,POINT (8.408288764401028 49.52862352245435),SM_0129
,gas,180.0,ElmTerm_0460,8.408288764401028,49.528623522454346,POINT (8.408288764401028 49.52862352245435),SM_0130
,biomass,135.0,ElmTerm_0507,11.727353424930097,52.568947010139496,POINT (11.7273534249301 52.5689470101395),SM_0131
,wind,3200.0,ElmTerm_0532,9.234953747847472,53.9168466037566,POINT (9.234953747847472 53.9168466037566),SM_0132
,wind,3200.0,ElmTerm_0532,9.234953747847472,53.9168466037566,POINT (9.234953747847472 53.9168466037566),SM_0133
,wind,3200.0,ElmTerm_0532,9.234953747847472,53.9168466037566,POINT (9.234953747847472 53.9168466037566),SM_0134
,wind,3200.0,ElmTerm_0532,9.234953747847472,53.9168466037566,POINT (9.234953747847472 53.9168466037566),SM_0135
,wind,2500.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0136
,wind,2300.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0137
,wind,2300.0,ElmTerm_0519,9.202102659689944,53.895162355753875,POINT (9.202102659689944 53.89516235575388),SM_0138
Heizkraftwerk Iderhoffstraße,gas,12.0,ElmTerm_0539,11.122854601970444,50.99890902588295,POINT (11.12285460197044 50.99890902588295),SM_0139
Pumpspeicherwerk Bleiloch,hydro,80.0,ElmTerm_0538,11.646378679149018,50.53487698074571,POINT (11.64637867914902 50.53487698074571),SM_0140
Pumpspeicherkraftwerk Hohenwarte I,hydro,63.0,ElmTerm_0775,11.474652795898285,50.60397749999999,POINT (11.47465279589828 50.60397749999999),SM_0141
Pumpspeicherkraftwerk Hohenwarte II,hydro,320.0,ElmTerm_0775,11.474652795898285,50.60397749999999,POINT (11.47465279589828 50.60397749999999),SM_0142
Pumpspeicherwerk Goldisthal,hydro,1060.0,ElmTerm_0536,11.004916946056627,50.50741500000001,POINT (11.00491694605663 50.50741500000001),SM_0143
,biomass,28.0,ElmTerm_0538,11.646378679149018,50.53487698074571,POINT (11.64637867914902 50.53487698074571),SM_0144
Kraftwerk Eglisau-Glattfelden,hydro,43.4,ElmTerm_0022,8.258859980754563,47.63421163930175,POINT (8.258859980754563 47.63421163930175),SM_0145
Gemeinschaftskraftwerk Neckarwestheim,unknown,1400.0,ElmTerm_0776,9.177459707216364,49.037809899691005,POINT (9.177459707216364 49.03780989969101),SM_0146
Heizkraftwerk Heidelberg,gas,13.5,ElmTerm_0067,8.66378320103929,49.360087409273596,POINT (8.663783201039291 49.3600874092736),SM_0147
Heizkraftwerk Altbach/Deizisau,unknown,1292.0,ElmTerm_0031,9.37091927687223,48.719128006343865,POINT (9.370919276872231 48.71912800634387),SM_0148
Rheinkraftwerk Säckingen,hydro,73.6,ElmTerm_0071,7.957535855804106,47.5721889760732,POINT (7.957535855804106 47.5721889760732),SM_0149
Wasserkraftwerk Rheinfelden,hydro,100.0,ElmTerm_0047,7.842901949931776,47.58585151926468,POINT (7.842901949931776 47.58585151926468),SM_0150
Kraftwerk Ryburg-Schwörstadt,hydro,120.0,ElmTerm_0047,7.842901949931776,47.58585151926468,POINT (7.842901949931776 47.58585151926468),SM_0151
Heizkraftwerk Pfaffenwald,gas;oil,38.8,ElmTerm_0002,9.097114996519629,48.82777333041466,POINT (9.097114996519629 48.82777333041466),SM_0152
Rheinkraftwerk Albbruck-Dogern,hydro,84.0,ElmTerm_0901,8.0350968,47.5606405,POINT (8.0350968 47.5606405),SM_0153
GKN Block 2,nuclear,1400.0,ElmTerm_0776,9.177459707216364,49.037809899691005,POINT (9.177459707216364 49.03780989969101),SM_0154
,electricity,53.0,ElmTerm_0028,8.349126153392115,49.01305215253929,POINT (8.349126153392115 49.01305215253929),SM_0155
Kernkraftwerk Philippsburg Block 2,nuclear,1468.0,ElmTerm_0063,8.435564837870048,49.252322806625386,POINT (8.435564837870048 49.25232280662539),SM_0156
Kraftwerk Marbach II,oil,80.0,ElmTerm_0051,9.236412906273014,48.926958392452775,POINT (9.236412906273014 48.92695839245278),SM_0157
Kraftwerk Marbach III,oil,265.0,ElmTerm_0051,9.236412906273014,48.926958392452775,POINT (9.236412906273014 48.92695839245278),SM_0158
Kraftwerk Laufenburg,hydro,106.0,ElmTerm_0901,8.0350968,47.5606405,POINT (8.0350968 47.5606405),SM_0159
Grenzach-Wyhlen,hydro,40.0,ElmTerm_0047,7.842901949931776,47.58585151926468,POINT (7.842901949931776 47.58585151926468),SM_0160
Kraftwerk Waldshut,hydro,150.0,ElmTerm_0892,8.173769,47.6512308,POINT (8.173769 47.6512308),SM_0161
Witznautalsperre,hydro,220.0,ElmTerm_0021,8.251925533711914,47.6397698265316,POINT (8.251925533711914 47.6397698265316),SM_0162
Rheinkraftwerk Iffezheim,hydro,148.0,ElmTerm_0024,8.248729072264844,48.84631655970332,POINT (8.248729072264844 48.84631655970332),SM_0163
Kavernenkraftwerk Wehr,hydro,910.0,ElmTerm_0748,7.942810097115603,47.6530214,POINT (7.942810097115603 47.6530214),SM_0164
Kavernenkraftwerk Säckingen,hydro,360.0,ElmTerm_0743,7.959219597109825,47.57836000000002,POINT (7.959219597109825 47.57836000000002),SM_0165
Maschinenhaus,hydro,38.0,ElmTerm_0022,8.258859980754563,47.63421163930175,POINT (8.258859980754563 47.63421163930175),SM_0166
Rheinhafen-Dampfkraftwerk,coal;gas,1260.0,ElmTerm_0070,8.306262697810737,49.01282587491288,POINT (8.306262697810737 49.01282587491288),SM_0167
Großkraftwerk Mannheim,coal,2146.0,ElmTerm_0069,8.501808578318085,49.4449115469225,POINT (8.501808578318085 49.4449115469225),SM_0168
Bahnstromumformerwerk Neckarwestheim,electricity,140.0,ElmTerm_0776,9.177459707216364,49.037809899691005,POINT (9.177459707216364 49.03780989969101),SM_0169
Kernkraftwerk Philippsburg,unknown,1468.0,ElmTerm_0063,8.435564837870048,49.252322806625386,POINT (8.435564837870048 49.25232280662539),SM_0170
Rudolf-Fettweis-Werk,hydro,46.0,ElmTerm_0033,8.120618274736634,48.70535272050599,POINT (8.120618274736634 48.70535272050599),SM_0171
,electricity,75.0,ElmTerm_0776,9.177459707216364,49.037809899691005,POINT (9.177459707216364 49.03780989969101),SM_0172
,electricity,75.0,ElmTerm_0776,9.177459707216364,49.037809899691005,POINT (9.177459707216364 49.03780989969101),SM_0173
,solar,4800.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0174
,solar,11520.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0175
,solar,6480.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0176
,solar,4800.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0177
,solar,1300.0,ElmTerm_0066,8.512111739531795,49.29396658216428,POINT (8.512111739531795 49.29396658216428),SM_0178
,solar,6480.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0179
,solar,1300.0,ElmTerm_0066,8.512111739531795,49.29396658216428,POINT (8.512111739531795 49.29396658216428),SM_0180
,solar,6480.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0181
,solar,1300.0,ElmTerm_0066,8.512111739531795,49.29396658216428,POINT (8.512111739531795 49.29396658216428),SM_0182
,solar,1300.0,ElmTerm_0066,8.512111739531795,49.29396658216428,POINT (8.512111739531795 49.29396658216428),SM_0183
,solar,6480.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0184
,solar,1300.0,ElmTerm_0066,8.512111739531795,49.29396658216428,POINT (8.512111739531795 49.29396658216428),SM_0185
,solar,6480.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0186
,solar,1300.0,ElmTerm_0066,8.512111739531795,49.29396658216428,POINT (8.512111739531795 49.29396658216428),SM_0187
,solar,1920.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0188
,solar,1200.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0189
,biomass,20.0,ElmTerm_0460,8.408288764401028,49.528623522454346,POINT (8.408288764401028 49.52862352245435),SM_0190
,solar,5040.0,ElmTerm_0065,8.441315517711748,49.25140268637291,POINT (8.441315517711748 49.25140268637291),SM_0191
,solar,743820.0,ElmTerm_0077,8.562181989455382,49.13294996255253,POINT (8.562181989455382 49.13294996255253),SM_0192
Kraftwerk Häusern,hydro,100.0,ElmTerm_0892,8.173769,47.6512308,POINT (8.173769 47.6512308),SM_0193
Heizkraftwerk Süd,unknown,700.0,ElmTerm_0081,11.639312138801586,48.17878342774281,POINT (11.63931213880159 48.17878342774281),SM_0194
Heizkraftwerk Nord,coal;waste,360.0,ElmTerm_0081,11.639312138801586,48.17878342774281,POINT (11.63931213880159 48.17878342774281),SM_0195
