voltage,name,idx,sh_terminals,trafos
380.0,floating end terminal,ElmTerm_0858,POINT (6.670766 50.9920908),[]
220.0,virtual terminal,ElmTerm_virtual_0447,POINT (7.4565823 51.6602454),[]
380.0,virtual terminal,ElmTerm_virtual_0453,POINT (8.2877738 49.5265276),['ElmTr2_0130']
220.0,tieline terminal,ElmTerm_tieline_0026,POINT (6.7008915 49.1384652),[]
220.0,floating end terminal,ElmTerm_0915,POINT (7.1214345 49.3098489),[]
380.0,tieline terminal,ElmTerm_tieline_0027,POINT (6.2866806 49.1978724),[]
380.0,tieline terminal,ElmTerm_tieline_0029,POINT (14.965471 51.0529414),[]
220.0,floating end terminal,ElmTerm_0889,POINT (10.1770887 54.3398042),[]
380.0,tieline terminal,ElmTerm_tieline_0030,POINT (9.269279300000001 55.0355021),[]
380.0,floating end terminal,ElmTerm_0891,POINT (9.3397437 48.843536),[]
380.0,tieline terminal,ElmTerm_tieline_0032,POINT (8.247467 47.6127763),['ElmTr2_0127']
220.0,tieline terminal,ElmTerm_tieline_0033,POINT (8.247467 47.6127763),['ElmTr2_0127']
380.0,tieline terminal,ElmTerm_tieline_0036,POINT (10.8725558 47.2470484),['ElmTr2_0120']
220.0,tieline terminal,ElmTerm_tieline_0037,POINT (10.8725558 47.2470484),['ElmTr2_0120']
380.0,virtual terminal,ElmTerm_virtual_0440,POINT (7.1462924 51.5048313),['ElmTr2_0133']
380.0,tieline terminal,ElmTerm_tieline_0043,POINT (8.046708000000001 47.5531799),['ElmTr2_0123']
220.0,floating end terminal,ElmTerm_0902,POINT (8.683449299999999 49.9426912),[]
