Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2021-01-12 02:00:00,2021-01-12 03:00:00,7103.900
2021-01-12 03:00:00,2021-01-12 04:00:00,6973.800
2021-01-12 04:00:00,2021-01-12 05:00:00,7090.400
2021-01-12 05:00:00,2021-01-12 06:00:00,7667.200
2021-01-12 06:00:00,2021-01-12 07:00:00,8595.800
2021-01-12 07:00:00,2021-01-12 08:00:00,9531.000
2021-01-12 08:00:00,2021-01-12 09:00:00,9856.600
2021-01-12 09:00:00,2021-01-12 10:00:00,9878.400
2021-01-12 10:00:00,2021-01-12 11:00:00,9990.500
2021-01-12 11:00:00,2021-01-12 12:00:00,10057.400
2021-01-12 12:00:00,2021-01-12 13:00:00,9885.200
2021-01-12 13:00:00,2021-01-12 14:00:00,9781.200
2021-01-12 14:00:00,2021-01-12 15:00:00,9561.300
2021-01-12 15:00:00,2021-01-12 16:00:00,9478.200
2021-01-12 16:00:00,2021-01-12 17:00:00,9582.800
2021-01-12 17:00:00,2021-01-12 18:00:00,9749.700
2021-01-12 18:00:00,2021-01-12 19:00:00,9523.800
2021-01-12 19:00:00,2021-01-12 20:00:00,9058.400
2021-01-12 20:00:00,2021-01-12 21:00:00,8559.700
2021-01-12 21:00:00,2021-01-12 22:00:00,8003.900
2021-01-12 22:00:00,2021-01-12 23:00:00,7853.000
2021-01-12 23:00:00,2021-01-13 00:00:00,7438.300
2021-01-13 00:00:00,2021-01-13 01:00:00,7165.700
2021-01-13 01:00:00,2021-01-13 02:00:00,6871.200
2021-01-13 02:00:00,2021-01-13 03:00:00,6770.000
2021-01-13 03:00:00,2021-01-13 04:00:00,6646.800
2021-01-13 04:00:00,2021-01-13 05:00:00,6823.600
2021-01-13 05:00:00,2021-01-13 06:00:00,7492.800
2021-01-13 06:00:00,2021-01-13 07:00:00,8417.000
2021-01-13 07:00:00,2021-01-13 08:00:00,9295.600
2021-01-13 08:00:00,2021-01-13 09:00:00,9620.600
2021-01-13 09:00:00,2021-01-13 10:00:00,9652.700
2021-01-13 10:00:00,2021-01-13 11:00:00,9709.100
2021-01-13 11:00:00,2021-01-13 12:00:00,9724.800
2021-01-13 12:00:00,2021-01-13 13:00:00,9516.700
2021-01-13 13:00:00,2021-01-13 14:00:00,9383.500
2021-01-13 14:00:00,2021-01-13 15:00:00,9243.000
2021-01-13 15:00:00,2021-01-13 16:00:00,9169.500
2021-01-13 16:00:00,2021-01-13 17:00:00,9345.100
2021-01-13 17:00:00,2021-01-13 18:00:00,9643.700
2021-01-13 18:00:00,2021-01-13 19:00:00,9544.100
2021-01-13 19:00:00,2021-01-13 20:00:00,9092.600
2021-01-13 20:00:00,2021-01-13 21:00:00,8531.800
2021-01-13 21:00:00,2021-01-13 22:00:00,8052.200
2021-01-13 22:00:00,2021-01-13 23:00:00,7895.800
2021-01-13 23:00:00,2021-01-14 00:00:00,7617.900
2021-01-14 00:00:00,2021-01-14 01:00:00,7271.000
2021-01-14 01:00:00,2021-01-14 02:00:00,6987.900
2021-01-14 02:00:00,2021-01-14 03:00:00,6796.700
2021-01-14 03:00:00,2021-01-14 04:00:00,6656.600
2021-01-14 04:00:00,2021-01-14 05:00:00,6808.000
2021-01-14 05:00:00,2021-01-14 06:00:00,7493.200
2021-01-14 06:00:00,2021-01-14 07:00:00,8417.100
2021-01-14 07:00:00,2021-01-14 08:00:00,9256.600
2021-01-14 08:00:00,2021-01-14 09:00:00,9618.600
2021-01-14 09:00:00,2021-01-14 10:00:00,9738.000
2021-01-14 10:00:00,2021-01-14 11:00:00,9877.100
2021-01-14 11:00:00,2021-01-14 12:00:00,10023.500
2021-01-14 12:00:00,2021-01-14 13:00:00,9880.900
2021-01-14 13:00:00,2021-01-14 14:00:00,9642.300
2021-01-14 14:00:00,2021-01-14 15:00:00,9436.400
2021-01-14 15:00:00,2021-01-14 16:00:00,9303.600
2021-01-14 16:00:00,2021-01-14 17:00:00,9442.900
2021-01-14 17:00:00,2021-01-14 18:00:00,9686.800
2021-01-14 18:00:00,2021-01-14 19:00:00,9510.100
2021-01-14 19:00:00,2021-01-14 20:00:00,9066.200
2021-01-14 20:00:00,2021-01-14 21:00:00,8501.700
2021-01-14 21:00:00,2021-01-14 22:00:00,7923.300
2021-01-14 22:00:00,2021-01-14 23:00:00,7844.200
2021-01-14 23:00:00,2021-01-15 00:00:00,7459.300
2021-01-15 00:00:00,2021-01-15 01:00:00,7292.400
2021-01-15 01:00:00,2021-01-15 02:00:00,7053.700
2021-01-15 02:00:00,2021-01-15 03:00:00,7008.700
2021-01-15 03:00:00,2021-01-15 04:00:00,6918.300
2021-01-15 04:00:00,2021-01-15 05:00:00,7054.600
2021-01-15 05:00:00,2021-01-15 06:00:00,7589.600
2021-01-15 06:00:00,2021-01-15 07:00:00,8460.700
2021-01-15 07:00:00,2021-01-15 08:00:00,9413.100
2021-01-15 08:00:00,2021-01-15 09:00:00,9790.500
2021-01-15 09:00:00,2021-01-15 10:00:00,9883.600
2021-01-15 10:00:00,2021-01-15 11:00:00,9894.600
2021-01-15 11:00:00,2021-01-15 12:00:00,9909.000
2021-01-15 12:00:00,2021-01-15 13:00:00,9673.000
2021-01-15 13:00:00,2021-01-15 14:00:00,9326.300
2021-01-15 14:00:00,2021-01-15 15:00:00,9124.900
2021-01-15 15:00:00,2021-01-15 16:00:00,9032.500
2021-01-15 16:00:00,2021-01-15 17:00:00,9211.300
2021-01-15 17:00:00,2021-01-15 18:00:00,9556.700
2021-01-15 18:00:00,2021-01-15 19:00:00,9422.600
2021-01-15 19:00:00,2021-01-15 20:00:00,8931.200
2021-01-15 20:00:00,2021-01-15 21:00:00,8305.300
2021-01-15 21:00:00,2021-01-15 22:00:00,7749.400
2021-01-15 22:00:00,2021-01-15 23:00:00,7688.300
2021-01-15 23:00:00,2021-01-16 00:00:00,7323.000
2021-01-16 00:00:00,2021-01-16 01:00:00,7007.800
2021-01-16 01:00:00,2021-01-16 02:00:00,6787.300
2021-01-16 02:00:00,2021-01-16 03:00:00,6664.200
2021-01-16 03:00:00,2021-01-16 04:00:00,6499.900
2021-01-16 04:00:00,2021-01-16 05:00:00,6522.600
2021-01-16 05:00:00,2021-01-16 06:00:00,6784.800
2021-01-16 06:00:00,2021-01-16 07:00:00,7067.900
2021-01-16 07:00:00,2021-01-16 08:00:00,7476.300
2021-01-16 08:00:00,2021-01-16 09:00:00,7888.600
2021-01-16 09:00:00,2021-01-16 10:00:00,8320.100
2021-01-16 10:00:00,2021-01-16 11:00:00,8525.700
2021-01-16 11:00:00,2021-01-16 12:00:00,8655.800
2021-01-16 12:00:00,2021-01-16 13:00:00,8445.500
2021-01-16 13:00:00,2021-01-16 14:00:00,8149.300
2021-01-16 14:00:00,2021-01-16 15:00:00,8005.200
2021-01-16 15:00:00,2021-01-16 16:00:00,7963.100
2021-01-16 16:00:00,2021-01-16 17:00:00,8091.900
2021-01-16 17:00:00,2021-01-16 18:00:00,8473.900
2021-01-16 18:00:00,2021-01-16 19:00:00,8379.100
2021-01-16 19:00:00,2021-01-16 20:00:00,7994.500
2021-01-16 20:00:00,2021-01-16 21:00:00,7689.000
2021-01-16 21:00:00,2021-01-16 22:00:00,7308.500
2021-01-16 22:00:00,2021-01-16 23:00:00,7291.700
2021-01-16 23:00:00,2021-01-17 00:00:00,6887.100
2021-01-17 00:00:00,2021-01-17 01:00:00,6650.200
2021-01-17 01:00:00,2021-01-17 02:00:00,6382.800
2021-01-17 02:00:00,2021-01-17 03:00:00,6295.600
2021-01-17 03:00:00,2021-01-17 04:00:00,6163.800
2021-01-17 04:00:00,2021-01-17 05:00:00,6128.800
2021-01-17 05:00:00,2021-01-17 06:00:00,6260.600
2021-01-17 06:00:00,2021-01-17 07:00:00,6378.900
2021-01-17 07:00:00,2021-01-17 08:00:00,6792.200
2021-01-17 08:00:00,2021-01-17 09:00:00,7192.800
2021-01-17 09:00:00,2021-01-17 10:00:00,7623.600
2021-01-17 10:00:00,2021-01-17 11:00:00,7884.900
2021-01-17 11:00:00,2021-01-17 12:00:00,8054.100
2021-01-17 12:00:00,2021-01-17 13:00:00,7908.700
2021-01-17 13:00:00,2021-01-17 14:00:00,7695.900
2021-01-17 14:00:00,2021-01-17 15:00:00,7510.100
2021-01-17 15:00:00,2021-01-17 16:00:00,7432.200
2021-01-17 16:00:00,2021-01-17 17:00:00,7575.500
2021-01-17 17:00:00,2021-01-17 18:00:00,8046.600
