Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2019-01-02 14:30:00,2019-01-02 14:45:00,8772.000
2019-01-02 14:45:00,2019-01-02 15:00:00,8780.800
2019-01-02 15:00:00,2019-01-02 15:15:00,8801.600
2019-01-02 15:15:00,2019-01-02 15:30:00,8802.400
2019-01-02 15:30:00,2019-01-02 15:45:00,8811.600
2019-01-02 15:45:00,2019-01-02 16:00:00,8837.600
2019-01-02 16:00:00,2019-01-02 16:15:00,8908.400
2019-01-02 16:15:00,2019-01-02 16:30:00,8983.200
2019-01-02 16:30:00,2019-01-02 16:45:00,9101.600
2019-01-02 16:45:00,2019-01-02 17:00:00,9198.000
2019-01-02 17:00:00,2019-01-02 17:15:00,9241.200
2019-01-02 17:15:00,2019-01-02 17:30:00,9251.600
2019-01-02 17:30:00,2019-01-02 17:45:00,9304.400
2019-01-02 17:45:00,2019-01-02 18:00:00,9294.400
2019-01-02 18:00:00,2019-01-02 18:15:00,9248.400
2019-01-02 18:15:00,2019-01-02 18:30:00,9143.200
2019-01-02 18:30:00,2019-01-02 18:45:00,9100.800
2019-01-02 18:45:00,2019-01-02 19:00:00,9027.600
2019-01-02 19:00:00,2019-01-02 19:15:00,8797.200
2019-01-02 19:15:00,2019-01-02 19:30:00,8750.400
2019-01-02 19:30:00,2019-01-02 19:45:00,8630.000
2019-01-02 19:45:00,2019-01-02 20:00:00,8476.800
2019-01-02 20:00:00,2019-01-02 20:15:00,8370.800
2019-01-02 20:15:00,2019-01-02 20:30:00,8223.200
2019-01-02 20:30:00,2019-01-02 20:45:00,8111.600
2019-01-02 20:45:00,2019-01-02 21:00:00,7979.600
2019-01-02 21:00:00,2019-01-02 21:15:00,7846.800
2019-01-02 21:15:00,2019-01-02 21:30:00,7694.000
2019-01-02 21:30:00,2019-01-02 21:45:00,7590.000
2019-01-02 21:45:00,2019-01-02 22:00:00,7564.400
2019-01-02 22:00:00,2019-01-02 22:15:00,7704.800
2019-01-02 22:15:00,2019-01-02 22:30:00,7642.800
2019-01-02 22:30:00,2019-01-02 22:45:00,7492.000
2019-01-02 22:45:00,2019-01-02 23:00:00,7342.800
2019-01-02 23:00:00,2019-01-02 23:15:00,7284.400
2019-01-02 23:15:00,2019-01-02 23:30:00,7074.800
2019-01-02 23:30:00,2019-01-02 23:45:00,6940.000
2019-01-02 23:45:00,2019-01-03 00:00:00,6813.200
2019-01-03 00:00:00,2019-01-03 00:15:00,6826.400
2019-01-03 00:15:00,2019-01-03 00:30:00,6734.800
2019-01-03 00:30:00,2019-01-03 00:45:00,6683.600
2019-01-03 00:45:00,2019-01-03 01:00:00,6570.800
2019-01-03 01:00:00,2019-01-03 01:15:00,6546.400
2019-01-03 01:15:00,2019-01-03 01:30:00,6469.200
2019-01-03 01:30:00,2019-01-03 01:45:00,6396.800
2019-01-03 01:45:00,2019-01-03 02:00:00,6350.400
2019-01-03 02:00:00,2019-01-03 02:15:00,6379.600
2019-01-03 02:15:00,2019-01-03 02:30:00,6326.000
2019-01-03 02:30:00,2019-01-03 02:45:00,6302.000
2019-01-03 02:45:00,2019-01-03 03:00:00,6250.800
2019-01-03 03:00:00,2019-01-03 03:15:00,6222.800
2019-01-03 03:15:00,2019-01-03 03:30:00,6170.800
2019-01-03 03:30:00,2019-01-03 03:45:00,6182.400
2019-01-03 03:45:00,2019-01-03 04:00:00,6173.600
2019-01-03 04:00:00,2019-01-03 04:15:00,6245.600
2019-01-03 04:15:00,2019-01-03 04:30:00,6239.600
2019-01-03 04:30:00,2019-01-03 04:45:00,6261.600
2019-01-03 04:45:00,2019-01-03 05:00:00,6353.600
2019-01-03 05:00:00,2019-01-03 05:15:00,6600.000
2019-01-03 05:15:00,2019-01-03 05:30:00,6734.800
2019-01-03 05:30:00,2019-01-03 05:45:00,6913.600
2019-01-03 05:45:00,2019-01-03 06:00:00,7054.400
2019-01-03 06:00:00,2019-01-03 06:15:00,7214.800
2019-01-03 06:15:00,2019-01-03 06:30:00,7435.600
2019-01-03 06:30:00,2019-01-03 06:45:00,7649.600
2019-01-03 06:45:00,2019-01-03 07:00:00,7834.400
2019-01-03 07:00:00,2019-01-03 07:15:00,8220.000
2019-01-03 07:15:00,2019-01-03 07:30:00,8361.200
2019-01-03 07:30:00,2019-01-03 07:45:00,8510.000
2019-01-03 07:45:00,2019-01-03 08:00:00,8576.400
2019-01-03 08:00:00,2019-01-03 08:15:00,8615.600
2019-01-03 08:15:00,2019-01-03 08:30:00,8676.000
2019-01-03 08:30:00,2019-01-03 08:45:00,8777.600
2019-01-03 08:45:00,2019-01-03 09:00:00,8864.400
2019-01-03 09:00:00,2019-01-03 09:15:00,8948.800
2019-01-03 09:15:00,2019-01-03 09:30:00,9046.800
2019-01-03 09:30:00,2019-01-03 09:45:00,9094.400
2019-01-03 09:45:00,2019-01-03 10:00:00,9123.200
2019-01-03 10:00:00,2019-01-03 10:15:00,9145.600
2019-01-03 10:15:00,2019-01-03 10:30:00,9165.600
2019-01-03 10:30:00,2019-01-03 10:45:00,9211.600
