name,geometry
 ,"POLYGON ((1.2911137 41.2829878, 1.2912978 41.2829863, 1.292083 41.2835625, 1.2914716 41.2838145, 1.2907334 41.283289, 1.2911137 41.2829878))"
 ,"POLYGON ((0.4967495 41.6282746, 0.4973987 41.6282714, 0.497408 41.6291368, 0.4967545 41.629139, 0.4967495 41.6282746))"
Subestació de Torres de Segre,"POLYGON ((0.4927603 41.5000063, 0.4933165 41.4997444, 0.4936948 41.4996295, 0.4942981 41.5002973, 0.4934126 41.5007506, 0.4927603 41.5000063))"
Subestació d'Albatàrrec,"POLYGON ((0.6213103 41.5776703, 0.6216657999999999 41.5779227, 0.6226937 41.5777829, 0.622526 41.5770539, 0.6219808999999999 41.5771285, 0.6213103 41.5776703))"
 ,"POLYGON ((1.1973164 41.113312, 1.199025 41.1133788, 1.1990197 41.1138708, 1.1986499 41.1141336, 1.1986106 41.1148213, 1.1970711 41.1147758, 1.1973164 41.113312))"
 ,"POLYGON ((1.2237375 41.134201, 1.2246449 41.1347304, 1.2247446 41.1346139, 1.2246502 41.1345724, 1.2251013 41.1341635, 1.225416 41.1341595, 1.2256351 41.1343778, 1.2257964 41.1343973, 1.2260188 41.1344633, 1.2265512 41.1347556, 1.2267112 41.1349907, 1.2268179 41.1352128, 1.2268599 41.1352366, 1.2270251 41.1352128, 1.2271157 41.1354343, 1.2271697 41.1354288, 1.2272861 41.1356948, 1.2272447 41.1357077, 1.2273309 41.1360529, 1.2270045 41.1360934, 1.2257992 41.1364382, 1.2249809 41.1366199, 1.2226743 41.1353171, 1.2232612 41.1346919, 1.2234238 41.1344884, 1.2237375 41.134201))"
 ,"POLYGON ((1.1633333 41.1147551, 1.1627139 41.1155236, 1.1637116 41.1160042, 1.1642272 41.115409, 1.1642828 41.1153196, 1.1642865 41.1151743, 1.1633333 41.1147551))"
Subestació de Bescanó,"POLYGON ((2.6944018 41.9721476, 2.6960652 41.9715914, 2.6962784 41.9715201, 2.6967502 41.9714507, 2.6972731 41.9713121, 2.6977986 41.972277, 2.6977918 41.9724939, 2.6977138 41.9726731, 2.6973643 41.9730767, 2.6960239 41.9735308, 2.6957626 41.9735459, 2.6951519 41.9733769, 2.694351 41.9736468, 2.693859 41.9727967, 2.6939778 41.9725797, 2.6943207 41.9724592, 2.6945377 41.9723829, 2.6944018 41.9721476))"
 ,"POLYGON ((2.1720609 41.5482739, 2.1736195 41.5479776, 2.1734712 41.5484777, 2.1732917 41.5488917, 2.1731144 41.5491397, 2.1727471 41.5494099, 2.1719491 41.5493657, 2.1720609 41.5482739))"
Subestació de Centelles,"POLYGON ((2.2119149 41.8086204, 2.2119955 41.8087384, 2.2121035 41.8088082, 2.2123136 41.8086859, 2.2124777 41.8085432, 2.2125373 41.8083725, 2.2128001 41.8080282, 2.2132403 41.807495, 2.2133152 41.8074274, 2.2132777 41.807377, 2.2131957 41.8073674, 2.2130129 41.8072611, 2.2126858 41.8073237, 2.2122624 41.8076969, 2.2119632 41.8078668, 2.2116457 41.8081581, 2.2115671 41.8084072, 2.2119149 41.8086204))"
Subestació transformadora de Rubió,"POLYGON ((1.5906715 41.6488415, 1.5916211 41.6491667, 1.5919352 41.6486546, 1.5921455 41.6487325, 1.5923216 41.6486844, 1.5924972 41.648311, 1.5912573 41.6478864, 1.5911258 41.6481007, 1.590929 41.6480333, 1.5907672 41.648297, 1.5909641 41.6483645, 1.5906715 41.6488415))"
Central del Pont de Suert,"POLYGON ((0.7399238 42.4034306, 0.7399747 42.4033371, 0.7399857999999999 42.4032372, 0.7396701 42.4022821, 0.7389796 42.402129, 0.7384094 42.4027763, 0.7384558 42.4030698, 0.7383763 42.4030857, 0.7384219999999999 42.4032376, 0.7379141 42.4033372, 0.7382141999999999 42.4041267, 0.7390203 42.4039596, 0.7389325 42.4037286, 0.7398828 42.4035315, 0.7398502 42.4034458, 0.7399238 42.4034306))"
Subestació de Vic,"POLYGON ((2.2814164 41.9555691, 2.2808129 41.9567232, 2.2804381 41.9577782, 2.2804389 41.9578913, 2.2808052 41.9579745, 2.2808913 41.9578322, 2.2813546 41.9580431, 2.2809875 41.9584219, 2.2822262 41.9589873, 2.2830758 41.9586309, 2.2839128 41.9579444, 2.2838787 41.9567282, 2.2818645 41.9550829, 2.2814164 41.9555691))"
Subestació de Juneda,"POLYGON ((0.8273984 41.5310999, 0.8272784 41.5302915, 0.8286104999999999 41.5301817, 0.8287312999999999 41.5309908, 0.8273984 41.5310999))"
Subestació de Sant Just,"POLYGON ((2.078834 41.3925593, 2.0797306 41.3929803, 2.0803434 41.3922456, 2.0795268 41.3918623, 2.0793866 41.3920304, 2.0793066 41.3919928, 2.078834 41.3925593))"
Estació Elèctrica de Pujalt,"POLYGON ((1.446375 41.6787936, 1.4452148 41.6789813, 1.4454359 41.6797438, 1.4453542 41.679757, 1.445527 41.6803526, 1.4458362 41.6803026, 1.4458596 41.6803833, 1.4459587 41.6803672, 1.4460006 41.6805119, 1.4468342 41.680377, 1.446375 41.6787936))"
Subestació elèctrica,"POLYGON ((1.6671616 41.5766464, 1.6676635 41.5770737, 1.6675197 41.5773151, 1.6672542 41.5774945, 1.666617 41.5769576, 1.6666753 41.5768577, 1.6670298 41.576627, 1.6671616 41.5766464))"
Subestació Tavascan,"POLYGON ((1.2589834 42.6462255, 1.2590096 42.6461886, 1.2589856 42.6461726, 1.2591731 42.645887, 1.2593258 42.6458566, 1.2597642 42.646017, 1.2598078 42.64611, 1.2597599 42.6461656, 1.2596616 42.6463096, 1.259605 42.6463763, 1.2593934 42.6464036, 1.2591295 42.6463057, 1.2589834 42.6462255))"
Subestació Garraf 2,"POLYGON ((1.7196552 41.2556503, 1.7193233 41.2557212, 1.7185354 41.2555164, 1.7184856 41.2554512, 1.7189329 41.2544258, 1.7191062 41.254383, 1.7197699 41.2545938, 1.7200435 41.2548568, 1.7201233 41.254737, 1.7207409 41.2553887, 1.7205296 41.2558178, 1.7202098 41.2558124, 1.7196552 41.2556503))"
Estació Receptora de Collblanc,"POLYGON ((2.1042761 41.3778571, 2.1044264 41.3778994, 2.1049065 41.3779014, 2.1056226 41.3776418, 2.1058 41.3774768, 2.1064139 41.3772313, 2.1065265 41.3771347, 2.106366 41.3766718, 2.1065775 41.3766838, 2.1066016 41.3765329, 2.1067813 41.3765148, 2.1067465 41.3761565, 2.1061246 41.3762129, 2.1054885 41.3762592, 2.1050598 41.3762894, 2.1050915 41.3765128, 2.1049574 41.3765953, 2.1047482 41.3766798, 2.1043862 41.3767989, 2.1043566 41.3768086, 2.1043995 41.3770964, 2.104303 41.3770964, 2.1042283 41.3771649, 2.1042819 41.3775694, 2.1042814 41.3775939, 2.1042761 41.3778571))"
Estació transformadora de Santa Llogaia d'Àlguema,"POLYGON ((2.943225 42.2296422, 2.9450178 42.2295555, 2.9451395 42.2295505, 2.9452453 42.2307758, 2.9452791 42.2311279, 2.9433678 42.2312205, 2.943225 42.2296422))"
 ,"POLYGON ((0.8879828999999999 41.1423901, 0.8881038 41.1424006, 0.8880952999999999 41.1424274, 0.8881880999999999 41.142438, 0.8881956 41.1424147, 0.8884514 41.1424528, 0.8885394 41.1420479, 0.8880897 41.1419914, 0.8880737999999999 41.1420013, 0.8879828999999999 41.1423901))"
Estació transmissora de Santa Llogaia d'Àlguema,"POLYGON ((2.9455602 42.2307691, 2.9475783 42.2307266, 2.9475569 42.229902, 2.9476188 42.2298704, 2.9476098 42.2295913, 2.947549 42.2295689, 2.9475378 42.2291091, 2.9474793 42.229109, 2.9471486 42.2291082, 2.9471508 42.2291757, 2.9455153 42.229209, 2.945522 42.2295255, 2.9455288 42.2299945, 2.9454444 42.229997, 2.9454455 42.2301677, 2.9455445 42.2301669, 2.9455456 42.2305042, 2.9454613 42.2305051, 2.945468 42.2306758, 2.945558 42.2306758, 2.9455602 42.2307691))"
 ,"POLYGON ((1.6593338 41.2106613, 1.6591851 41.2101476, 1.6591866 41.2100027, 1.6589126 41.209441, 1.6578686 41.2095386, 1.6571525 41.209836, 1.6566075 41.2099425, 1.6569315 41.2106867, 1.6571933 41.2107739, 1.6575838 41.2107368, 1.6579658 41.2108433, 1.6584293 41.21074, 1.6585237 41.210761, 1.6585344 41.2107222, 1.6588048 41.2107755, 1.6588134 41.2107481, 1.6593338 41.2106613))"
Subestació Via Favència,"POLYGON ((2.180894 41.4491527, 2.1805269 41.4493996, 2.1808831 41.4497013, 2.1812496 41.4494539, 2.1810561 41.44929, 2.180894 41.4491527))"
Subestació de Santa Coloma,"POLYGON ((2.1923545 41.4600697, 2.1913341 41.4592928, 2.191252 41.4592303, 2.1906471 41.4598393, 2.1903513 41.4602052, 2.1901268 41.4605713, 2.1898674 41.4611592, 2.189827 41.4613596, 2.1901231 41.4614842, 2.1901607 41.4614481, 2.1903247 41.4613604, 2.1905049 41.4612912, 2.190868 41.4611898, 2.1910987 41.4610331, 2.1911003 41.4610308, 2.191759 41.460526, 2.1923545 41.4600697))"
 ,"POLYGON ((2.8820883 42.061906, 2.8832767 42.0617057, 2.8834836 42.0616478, 2.8837353 42.0622998, 2.884044 42.0624255, 2.8842224 42.062855, 2.8835974 42.0629996, 2.883512 42.0630263, 2.8834476 42.063033, 2.8825125 42.0632233, 2.8822159 42.0632733, 2.882176 42.06328, 2.8820014 42.0628355, 2.8819887 42.0627649, 2.8819999 42.0626781, 2.8820756 42.0625902, 2.882155 42.0625368, 2.8822427 42.062514, 2.8822937 42.0624495, 2.8820883 42.061906))"
Subestació de Trinitat,"POLYGON ((2.1884893 41.4481751, 2.188741 41.4488928, 2.1892302 41.4480355, 2.1884893 41.4481751, 2.1894603 41.4481379, 2.1892659 41.448171, 2.1892302 41.4480355, 2.1894483 41.4486895, 2.1894506 41.4483808, 2.1894603 41.4481379, 2.188741 41.4488928, 2.1888648 41.448828, 2.1894483 41.4486895, 2.1884893 41.4481751))"
Central hidràulica de la Pobla de Segur,"POLYGON ((0.9718253 42.2503185, 0.9717846 42.2503955, 0.9716965999999999 42.250631, 0.9716798999999999 42.250687, 0.9716954 42.2507323, 0.9717494 42.2507776, 0.9718549999999999 42.2508015, 0.971831 42.2508513, 0.9720063 42.2508968, 0.9718253 42.2503185, 0.9718926 42.2501912, 0.9722792 42.2494249, 0.9731919999999999 42.249666, 0.9728357 42.2504408, 0.9725615999999999 42.2503705, 0.9724615 42.2505752, 0.9737193 42.250933, 0.9735969 42.2513095, 0.9720063 42.2508968, 0.9718253 42.2503185))"
