voltage,name,idx,sh_terminals,trafos
220.0,virtual terminal,ElmTerm_virtual_0022,POINT (1.8668172 41.3973726),[]
220.0,virtual terminal,ElmTerm_virtual_0023,POINT (1.1338213 41.3982523),[]
220.0,floating end terminal,ElmTerm_0122,POINT (1.1342712 41.3961403),[]
380.0,virtual terminal,ElmTerm_virtual_0024,POINT (1.9104864 41.3508699),[]
380.0,virtual terminal,ElmTerm_virtual_0025,POINT (1.9064346 41.3511422),[]
220.0,virtual terminal,ElmTerm_virtual_0026,POINT (1.3210181 41.2864494),[]
220.0,virtual terminal,ElmTerm_virtual_0027,POINT (1.3611681 41.3713329),[]
220.0,virtual terminal,ElmTerm_virtual_0028,POINT (0.6204064 41.5783863),[]
220.0,tieline terminal,ElmTerm_tieline_0005,POINT (0.3123933 41.3270109),[]
220.0,virtual terminal,ElmTerm_virtual_0029,POINT (1.1933745 41.2071994),[]
220.0,virtual terminal,ElmTerm_virtual_0030,POINT (1.19652 41.2016179),[]
220.0,virtual terminal,ElmTerm_virtual_0031,POINT (1.8614837 41.4242954),[]
220.0,floating end terminal,ElmTerm_0125,POINT (2.3201798 41.5881581),[]
220.0,virtual terminal,ElmTerm_virtual_0032,POINT (2.3120787 41.6555521),[]
220.0,virtual terminal,ElmTerm_virtual_0033,POINT (2.1906838 41.608596),[]
220.0,floating end terminal,ElmTerm_0126,POINT (1.9868061 41.4457483),[]
380.0,virtual terminal,ElmTerm_virtual_0034,POINT (1.989241 41.5074918),[]
380.0,virtual terminal,ElmTerm_virtual_0035,POINT (2.3691245 41.9136141),[]
380.0,virtual terminal,ElmTerm_virtual_0036,POINT (2.1031418 41.6670315),[]
380.0,floating end terminal,ElmTerm_0127,POINT (2.0085621 41.4740076),[]
220.0,virtual terminal,ElmTerm_virtual_0006,POINT (2.2195784 41.8832259),[]
380.0,virtual terminal,ElmTerm_virtual_0037,POINT (1.9335191 41.7681557),[]
380.0,virtual terminal,ElmTerm_virtual_0038,POINT (1.9369911 41.7681413),[]
220.0,virtual terminal,ElmTerm_virtual_0039,POINT (0.9579645999999999 42.2569318),[]
220.0,virtual terminal,ElmTerm_virtual_0040,POINT (0.9600877 42.256232),[]
220.0,virtual terminal,ElmTerm_virtual_0041,POINT (0.9578675999999999 42.2563707),[]
220.0,tieline terminal,ElmTerm_tieline_0007,POINT (0.2117482 42.3129149),[]
220.0,tieline terminal,ElmTerm_tieline_0008,POINT (0.7567552 42.5691213),[]
380.0,virtual terminal,ElmTerm_virtual_0042,POINT (2.0125955 41.3290746),[]
220.0,virtual terminal,ElmTerm_virtual_0043,POINT (1.9780697 41.3738289),[]
220.0,virtual terminal,ElmTerm_virtual_0044,POINT (1.9793202 41.3731858),[]
220.0,virtual terminal,ElmTerm_virtual_0045,POINT (1.9844328 41.3752899),[]
220.0,virtual terminal,ElmTerm_virtual_0046,POINT (1.9838669 41.3755331),[]
220.0,virtual terminal,ElmTerm_virtual_0047,POINT (1.9848594 41.3758212),[]
220.0,floating end terminal,ElmTerm_0128,POINT (2.039928 41.3358423),[]
220.0,floating end terminal,ElmTerm_0129,POINT (2.0958314 41.3870145),[]
220.0,virtual terminal,ElmTerm_virtual_0048,POINT (2.0095243 41.4702968),[]
380.0,floating end terminal,ElmTerm_0130,POINT (2.008735 41.4741889),[]
220.0,virtual terminal,ElmTerm_virtual_0005,POINT (2.2242243 41.4725776),[]
380.0,virtual terminal,ElmTerm_virtual_0049,POINT (2.1141749 41.626798),[]
220.0,floating end terminal,ElmTerm_0131,POINT (1.3949165 42.3234921),[]
220.0,virtual terminal,ElmTerm_virtual_0050,POINT (1.3943917 42.3234989),[]
220.0,tieline terminal,ElmTerm_tieline_0009,POINT (0.1361641 42.4717324),[]
220.0,virtual terminal,ElmTerm_virtual_0051,POINT (1.215306 42.4942371),[]
220.0,virtual terminal,ElmTerm_virtual_0052,POINT (1.3446849 42.3188959),[]
