voltage,name,Area,Zone,idx,sh_terminals,trafos
220.0,tieline terminal,TL,TL,ElmTerm_tieline_0020,POINT (13.0588249 48.2679812),[]
110.0,virtual terminal,AT22,AT224,ElmTerm_virtual_0151,POINT (15.8990772 46.8610266),[]
110.0,virtual terminal,AT22,AT224,ElmTerm_virtual_0203,POINT (15.8973523 46.7603451),[]
110.0,virtual terminal,AT22,AT225,ElmTerm_virtual_0204,POINT (15.6192513 46.7223939),[]
110.0,floating end terminal,AT22,AT225,ElmTerm_0624,POINT (15.6211308 46.7162244),[]
110.0,virtual terminal,AT32,AT322,ElmTerm_virtual_0205,POINT (13.0772961 47.2896133),[]
110.0,virtual terminal,AT12,AT123,ElmTerm_virtual_0192,POINT (15.9033922 48.2108038),[]
110.0,virtual terminal,AT12,AT122,ElmTerm_virtual_0206,POINT (16.0951613 47.8955116),[]
110.0,virtual terminal,AT12,AT122,ElmTerm_virtual_0207,POINT (16.0328711 47.7096214),[]
110.0,virtual terminal,AT11,AT112,ElmTerm_virtual_0208,POINT (16.4481038 47.7996077),[]
110.0,virtual terminal,AT11,AT112,ElmTerm_virtual_0209,POINT (16.3761516 47.7859905),[]
110.0,virtual terminal,AT12,AT126,ElmTerm_virtual_0210,POINT (16.691969 48.3461482),[]
110.0,virtual terminal,AT12,AT121,ElmTerm_virtual_0211,POINT (15.1332762 48.115076),[]
220.0,tieline terminal,TL,TL,ElmTerm_tieline_0021,POINT (9.7529041 47.6480811),[]
110.0,virtual terminal,AT22,AT223,ElmTerm_virtual_0212,POINT (15.171487 47.4675402),[]
110.0,virtual terminal,AT22,AT223,ElmTerm_virtual_0213,POINT (15.2722995 47.4227707),[]
110.0,virtual terminal,AT21,AT213,ElmTerm_virtual_0214,POINT (14.7879235 46.9715094),[]
110.0,virtual terminal,AT21,AT213,ElmTerm_virtual_0215,POINT (14.6033503 46.6977176),[]
220.0,tieline terminal,TL,TL,ElmTerm_tieline_0022,POINT (13.7112674 48.5199261),[]
110.0,floating end terminal,AT32,AT322,ElmTerm_0627,POINT (13.1146187 47.0865512),[]
110.0,virtual terminal,AT12,AT126,ElmTerm_virtual_0216,POINT (16.4896018 48.3432124),[]
110.0,virtual terminal,AT12,AT125,ElmTerm_virtual_0217,POINT (16.6282177 48.6554905),[]
110.0,virtual terminal,AT12,AT123,ElmTerm_virtual_0218,POINT (15.7551654 48.358278),[]
110.0,virtual terminal,AT21,AT213,ElmTerm_virtual_0219,POINT (14.5296001 46.83994),[]
110.0,virtual terminal,AT21,AT213,ElmTerm_virtual_0220,POINT (14.5335944 46.8415664),[]
110.0,virtual terminal,AT22,AT221,ElmTerm_virtual_0221,POINT (15.4216818 47.0307938),[]
110.0,virtual terminal,AT22,AT225,ElmTerm_virtual_0222,POINT (15.5607324 46.825434),[]
110.0,floating end terminal,AT22,AT225,ElmTerm_0628,POINT (15.5656527 46.8279377),[]
110.0,virtual terminal,AT22,AT225,ElmTerm_virtual_0223,POINT (15.5786445 46.7411328),[]
110.0,virtual terminal,AT22,AT223,ElmTerm_virtual_0224,POINT (15.2983498 47.4394358),[]
110.0,virtual terminal,AT22,AT226,ElmTerm_virtual_0225,POINT (14.7257234 47.174997),[]
110.0,virtual terminal,AT33,AT335,ElmTerm_virtual_0226,POINT (12.2712381 47.470241),[]
110.0,virtual terminal,AT21,AT211,ElmTerm_virtual_0227,POINT (14.3261229 46.6012485),[]
110.0,floating end terminal,AT33,AT333,ElmTerm_0629,POINT (12.8190181 46.8285682),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0228,POINT (9.6453103 47.2217369),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0229,POINT (9.612982499999999 47.2788767),[]
110.0,virtual terminal,AT34,AT342,ElmTerm_virtual_0230,POINT (9.6289722 47.3360961),[]
110.0,tieline terminal,TL,TL,ElmTerm_tieline_0023,POINT (9.720556800000001 47.5525296),[]
110.0,virtual terminal,AT12,AT126,ElmTerm_virtual_0231,POINT (16.6928169 48.3491494),[]
110.0,tieline terminal,TL,TL,ElmTerm_tieline_0025,POINT (13.5888738 46.4958309),[]
110.0,virtual terminal,AT22,AT221,ElmTerm_virtual_0233,POINT (15.3174401 47.2804048),[]
110.0,floating end terminal,AT22,AT221,ElmTerm_0630,POINT (15.3172078 47.2804421),[]
110.0,floating end terminal,AT32,AT323,ElmTerm_0631,POINT (13.4244872 47.5378157),[]
110.0,virtual terminal,AT32,AT323,ElmTerm_virtual_0234,POINT (13.4263477 47.5387956),[]
110.0,virtual terminal,AT31,AT312,ElmTerm_virtual_0235,POINT (14.4947394 48.2368735),[]
110.0,virtual terminal,AT22,AT221,ElmTerm_virtual_0236,POINT (15.4195404 47.0329465),[]
110.0,virtual terminal,AT12,AT127,ElmTerm_virtual_0237,POINT (16.5753587 47.990576),[]
110.0,virtual terminal,AT33,AT333,ElmTerm_virtual_0238,POINT (12.5475975 46.9786572),[]
110.0,floating end terminal,AT33,AT333,ElmTerm_0632,POINT (12.5478342 46.9787524),[]
110.0,virtual terminal,AT12,AT122,ElmTerm_virtual_0239,POINT (16.0934428 47.8930854),[]
110.0,floating end terminal,AT32,AT322,ElmTerm_0635,POINT (12.5667812 47.2626347),[]
110.0,virtual terminal,AT12,AT123,ElmTerm_virtual_0240,POINT (15.6174253 48.1109022),[]
110.0,virtual terminal,AT12,AT122,ElmTerm_virtual_0241,POINT (16.0957305 47.892461),[]
110.0,virtual terminal,AT22,AT226,ElmTerm_virtual_0242,POINT (14.5658268 47.2040338),[]
110.0,tieline terminal,TL,TL,ElmTerm_tieline_0027,POINT (13.7116097 48.5192616),[]
110.0,virtual terminal,AT12,AT124,ElmTerm_virtual_0243,POINT (15.6337181 48.4755376),[]
110.0,virtual terminal,AT12,AT122,ElmTerm_virtual_0244,POINT (16.0412121 48.0009751),[]
110.0,virtual terminal,AT13,AT130,ElmTerm_virtual_0245,POINT (16.3816032 48.2459028),[]
110.0,floating end terminal,AT13,AT130,ElmTerm_0640,POINT (16.4792467 48.1749857),[]
110.0,virtual terminal,AT22,AT221,ElmTerm_virtual_0246,POINT (15.4797618 47.016209),[]
110.0,virtual terminal,AT31,AT313,ElmTerm_virtual_0247,POINT (14.4957598 48.4947956),[]
110.0,floating end terminal,AT21,AT212,ElmTerm_0642,POINT (13.046891 46.9923551),[]
110.0, ,AT21,AT212,ElmTerm_0003,POINT (13.0469634 46.9922618),[]
110.0,floating end terminal,AT21,AT212,ElmTerm_0643,POINT (13.0470023 46.9922874),[]
110.0,floating end terminal,AT21,AT212,ElmTerm_0644,POINT (13.3528733 47.0659911),[]
110.0, ,AT21,AT212,ElmTerm_0001,POINT (13.3527727 47.065707),[]
110.0,floating end terminal,AT21,AT212,ElmTerm_0645,POINT (13.3529122 47.0657893),[]
220.0, ,AT21,AT212,ElmTerm_0002,POINT (13.3432254 46.8954518),[]
220.0,floating end terminal,AT21,AT212,ElmTerm_0647,POINT (13.3433998 46.8954618),[]
220.0,floating end terminal,AT21,AT212,ElmTerm_0648,POINT (13.3432777 46.8953253),[]
110.0,virtual terminal,AT33,AT334,ElmTerm_virtual_0249,POINT (10.4796914 47.1292831),[]
