name,geometry
Umspannwerk Ernsthofen,"POLYGON ((14.4741921 48.1277339, 14.4726005 48.1270857, 14.4724566 48.1272556, 14.4723215 48.1272632, 14.4722669 48.1272663, 14.4715337 48.1267553, 14.4713838 48.1266003, 14.4712543 48.1262918, 14.4715196 48.1259922, 14.4714775 48.1257434, 14.4717474 48.1254568, 14.4721041 48.1245761, 14.4723869 48.1233618, 14.4720865 48.122916, 14.472821 48.1223817, 14.4729383 48.1220536, 14.4730018 48.1219787, 14.4732226 48.1218325, 14.4735217 48.12164, 14.4737572 48.1215073, 14.4739026 48.1214612, 14.473975 48.1217313, 14.4740863 48.1219909, 14.4742008 48.1221947, 14.4745979 48.1226744, 14.4746445 48.122756, 14.4744419 48.1230007, 14.4745719 48.1231717, 14.4744743 48.123281, 14.4752074 48.123569, 14.4753765 48.1235687, 14.4753928 48.1236399, 14.4753981 48.1236632, 14.4754542 48.1236731, 14.4758558 48.1238297, 14.4758032 48.1238823, 14.4758955 48.1239184, 14.4759921 48.1239551, 14.4760296 48.1239452, 14.4761731 48.1239551, 14.4762374 48.123973, 14.4758991 48.1243493, 14.4758564 48.1243994, 14.4757934 48.124471, 14.4757368 48.1245352, 14.4757447 48.1245382, 14.4756059 48.1246982, 14.4765393 48.1250736, 14.4764949 48.1251251, 14.4763716 48.125075, 14.4763473 48.1251027, 14.4763206 48.1251331, 14.4763991 48.1252366, 14.4749419 48.1268823, 14.4748735 48.1268787, 14.4748436 48.1269145, 14.4748226 48.1269396, 14.4748534 48.126979, 14.474271 48.1276438, 14.4741921 48.1277339))"
Umspannwerk Ernsthofen,"POLYGON ((14.4741921 48.1277339, 14.4726005 48.1270857, 14.4724566 48.1272556, 14.4723215 48.1272632, 14.4722669 48.1272663, 14.4715337 48.1267553, 14.4713838 48.1266003, 14.4712543 48.1262918, 14.4715196 48.1259922, 14.4714775 48.1257434, 14.4717474 48.1254568, 14.4721041 48.1245761, 14.4723869 48.1233618, 14.4720865 48.122916, 14.472821 48.1223817, 14.4729383 48.1220536, 14.4730018 48.1219787, 14.4732226 48.1218325, 14.4735217 48.12164, 14.4737572 48.1215073, 14.4739026 48.1214612, 14.473975 48.1217313, 14.4740863 48.1219909, 14.4742008 48.1221947, 14.4745979 48.1226744, 14.4746445 48.122756, 14.4744419 48.1230007, 14.4745719 48.1231717, 14.4744743 48.123281, 14.4752074 48.123569, 14.4753765 48.1235687, 14.4753928 48.1236399, 14.4753981 48.1236632, 14.4754542 48.1236731, 14.4758558 48.1238297, 14.4758032 48.1238823, 14.4758955 48.1239184, 14.4759921 48.1239551, 14.4760296 48.1239452, 14.4761731 48.1239551, 14.4762374 48.123973, 14.4758991 48.1243493, 14.4758564 48.1243994, 14.4757934 48.124471, 14.4757368 48.1245352, 14.4757447 48.1245382, 14.4756059 48.1246982, 14.4765393 48.1250736, 14.4764949 48.1251251, 14.4763716 48.125075, 14.4763473 48.1251027, 14.4763206 48.1251331, 14.4763991 48.1252366, 14.4749419 48.1268823, 14.4748735 48.1268787, 14.4748436 48.1269145, 14.4748226 48.1269396, 14.4748534 48.126979, 14.474271 48.1276438, 14.4741921 48.1277339))"
Umspannwerk Ernsthofen,"POLYGON ((14.4741921 48.1277339, 14.4726005 48.1270857, 14.4724566 48.1272556, 14.4723215 48.1272632, 14.4722669 48.1272663, 14.4715337 48.1267553, 14.4713838 48.1266003, 14.4712543 48.1262918, 14.4715196 48.1259922, 14.4714775 48.1257434, 14.4717474 48.1254568, 14.4721041 48.1245761, 14.4723869 48.1233618, 14.4720865 48.122916, 14.472821 48.1223817, 14.4729383 48.1220536, 14.4730018 48.1219787, 14.4732226 48.1218325, 14.4735217 48.12164, 14.4737572 48.1215073, 14.4739026 48.1214612, 14.473975 48.1217313, 14.4740863 48.1219909, 14.4742008 48.1221947, 14.4745979 48.1226744, 14.4746445 48.122756, 14.4744419 48.1230007, 14.4745719 48.1231717, 14.4744743 48.123281, 14.4752074 48.123569, 14.4753765 48.1235687, 14.4753928 48.1236399, 14.4753981 48.1236632, 14.4754542 48.1236731, 14.4758558 48.1238297, 14.4758032 48.1238823, 14.4758955 48.1239184, 14.4759921 48.1239551, 14.4760296 48.1239452, 14.4761731 48.1239551, 14.4762374 48.123973, 14.4758991 48.1243493, 14.4758564 48.1243994, 14.4757934 48.124471, 14.4757368 48.1245352, 14.4757447 48.1245382, 14.4756059 48.1246982, 14.4765393 48.1250736, 14.4764949 48.1251251, 14.4763716 48.125075, 14.4763473 48.1251027, 14.4763206 48.1251331, 14.4763991 48.1252366, 14.4749419 48.1268823, 14.4748735 48.1268787, 14.4748436 48.1269145, 14.4748226 48.1269396, 14.4748534 48.126979, 14.474271 48.1276438, 14.4741921 48.1277339))"
Umspannwerk Wien Südost,"POLYGON ((16.4195044 48.1270877, 16.4200061 48.1270845, 16.4208811 48.1270788, 16.4210457 48.1269639, 16.421086 48.1269633, 16.4212269 48.126961, 16.4212315 48.1270889, 16.4213519 48.1270867, 16.4214298 48.1270702, 16.4214823 48.1270415, 16.4215173 48.1269826, 16.4215117 48.1268501, 16.4214892 48.1268321, 16.4214164 48.1268329, 16.4213922 48.1268744, 16.421387 48.1265789, 16.4215427 48.1265789, 16.4215758 48.1265777, 16.4215776 48.126553, 16.422938 48.1265506, 16.4246241 48.1265464, 16.4245931 48.1232295, 16.4228687 48.1232351, 16.4226868 48.1230956, 16.4226832 48.1230117, 16.4209027 48.1230197, 16.4205735 48.1227884, 16.4205732 48.1225471, 16.4204698 48.1225482, 16.4204247 48.1225478, 16.420431 48.122075, 16.4203835 48.1220749, 16.4203288 48.1220749, 16.4203766 48.121786, 16.4205342 48.1208774, 16.4185892 48.1208848, 16.4182768 48.1208864, 16.418277 48.1206312, 16.4165718 48.1205807, 16.4164602 48.12066, 16.4164688 48.1223835, 16.4164913 48.1224142, 16.4165585 48.1224387, 16.4166631 48.1224756, 16.4165153 48.1225952, 16.4165195 48.1230278, 16.416074 48.123029, 16.4145307 48.1230333, 16.4145384 48.1239433, 16.4145829 48.1241018, 16.4146443 48.1241651, 16.414768 48.1242044, 16.4152176 48.124204, 16.4156323 48.1242324, 16.4170021 48.1242273, 16.4170085 48.1244434, 16.4182034 48.1246277, 16.4183506 48.1246904, 16.418595 48.1247946, 16.4190074 48.1249858, 16.4191113 48.1249803, 16.4191934 48.1249798, 16.4194916 48.124978, 16.4195003 48.1264142, 16.4195044 48.1270877))"
Umspannwerk Wien Südost,"POLYGON ((16.4195044 48.1270877, 16.4200061 48.1270845, 16.4208811 48.1270788, 16.4210457 48.1269639, 16.421086 48.1269633, 16.4212269 48.126961, 16.4212315 48.1270889, 16.4213519 48.1270867, 16.4214298 48.1270702, 16.4214823 48.1270415, 16.4215173 48.1269826, 16.4215117 48.1268501, 16.4214892 48.1268321, 16.4214164 48.1268329, 16.4213922 48.1268744, 16.421387 48.1265789, 16.4215427 48.1265789, 16.4215758 48.1265777, 16.4215776 48.126553, 16.422938 48.1265506, 16.4246241 48.1265464, 16.4245931 48.1232295, 16.4228687 48.1232351, 16.4226868 48.1230956, 16.4226832 48.1230117, 16.4209027 48.1230197, 16.4205735 48.1227884, 16.4205732 48.1225471, 16.4204698 48.1225482, 16.4204247 48.1225478, 16.420431 48.122075, 16.4203835 48.1220749, 16.4203288 48.1220749, 16.4203766 48.121786, 16.4205342 48.1208774, 16.4185892 48.1208848, 16.4182768 48.1208864, 16.418277 48.1206312, 16.4165718 48.1205807, 16.4164602 48.12066, 16.4164688 48.1223835, 16.4164913 48.1224142, 16.4165585 48.1224387, 16.4166631 48.1224756, 16.4165153 48.1225952, 16.4165195 48.1230278, 16.416074 48.123029, 16.4145307 48.1230333, 16.4145384 48.1239433, 16.4145829 48.1241018, 16.4146443 48.1241651, 16.414768 48.1242044, 16.4152176 48.124204, 16.4156323 48.1242324, 16.4170021 48.1242273, 16.4170085 48.1244434, 16.4182034 48.1246277, 16.4183506 48.1246904, 16.418595 48.1247946, 16.4190074 48.1249858, 16.4191113 48.1249803, 16.4191934 48.1249798, 16.4194916 48.124978, 16.4195003 48.1264142, 16.4195044 48.1270877))"
Umspannwerk Wien Südost,"POLYGON ((16.4195044 48.1270877, 16.4200061 48.1270845, 16.4208811 48.1270788, 16.4210457 48.1269639, 16.421086 48.1269633, 16.4212269 48.126961, 16.4212315 48.1270889, 16.4213519 48.1270867, 16.4214298 48.1270702, 16.4214823 48.1270415, 16.4215173 48.1269826, 16.4215117 48.1268501, 16.4214892 48.1268321, 16.4214164 48.1268329, 16.4213922 48.1268744, 16.421387 48.1265789, 16.4215427 48.1265789, 16.4215758 48.1265777, 16.4215776 48.126553, 16.422938 48.1265506, 16.4246241 48.1265464, 16.4245931 48.1232295, 16.4228687 48.1232351, 16.4226868 48.1230956, 16.4226832 48.1230117, 16.4209027 48.1230197, 16.4205735 48.1227884, 16.4205732 48.1225471, 16.4204698 48.1225482, 16.4204247 48.1225478, 16.420431 48.122075, 16.4203835 48.1220749, 16.4203288 48.1220749, 16.4203766 48.121786, 16.4205342 48.1208774, 16.4185892 48.1208848, 16.4182768 48.1208864, 16.418277 48.1206312, 16.4165718 48.1205807, 16.4164602 48.12066, 16.4164688 48.1223835, 16.4164913 48.1224142, 16.4165585 48.1224387, 16.4166631 48.1224756, 16.4165153 48.1225952, 16.4165195 48.1230278, 16.416074 48.123029, 16.4145307 48.1230333, 16.4145384 48.1239433, 16.4145829 48.1241018, 16.4146443 48.1241651, 16.414768 48.1242044, 16.4152176 48.124204, 16.4156323 48.1242324, 16.4170021 48.1242273, 16.4170085 48.1244434, 16.4182034 48.1246277, 16.4183506 48.1246904, 16.418595 48.1247946, 16.4190074 48.1249858, 16.4191113 48.1249803, 16.4191934 48.1249798, 16.4194916 48.124978, 16.4195003 48.1264142, 16.4195044 48.1270877))"
Umspannwerk Pottenbrunn,"POLYGON ((15.687124 48.2240815, 15.6876963 48.2244795, 15.687932 48.224329, 15.6884915 48.2247179, 15.6884295 48.2247575, 15.688378 48.2247216, 15.6882058 48.2248316, 15.689572 48.2257814, 15.6897761 48.2256511, 15.6902061 48.2259501, 15.6908765 48.2264305, 15.6911044 48.2262952, 15.691343 48.2261429, 15.6905175 48.2255619, 15.6908768 48.2251813, 15.6888316 48.2237594, 15.6883218 48.2240848, 15.6877459 48.2236845, 15.687124 48.2240815))"
Umspannwerk Pottenbrunn,"POLYGON ((15.687124 48.2240815, 15.6876963 48.2244795, 15.687932 48.224329, 15.6884915 48.2247179, 15.6884295 48.2247575, 15.688378 48.2247216, 15.6882058 48.2248316, 15.689572 48.2257814, 15.6897761 48.2256511, 15.6902061 48.2259501, 15.6908765 48.2264305, 15.6911044 48.2262952, 15.691343 48.2261429, 15.6905175 48.2255619, 15.6908768 48.2251813, 15.6888316 48.2237594, 15.6883218 48.2240848, 15.6877459 48.2236845, 15.687124 48.2240815))"
Umspannwerk Eibesbrunn,"POLYGON ((16.5037381 48.3605248, 16.5036529 48.361039, 16.504674 48.3611088, 16.5049607 48.3611877, 16.5053979 48.3611976, 16.5054727 48.3608019, 16.5048628 48.3605931, 16.5037381 48.3605248))"
Schaltanlage Mayrhofen,"POLYGON ((11.8516705 47.1631653, 11.8516833 47.163145, 11.8519119 47.1628439, 11.8514822 47.1622871, 11.8504108 47.1619429, 11.8499072 47.1619542, 11.8495528 47.1624429, 11.8516705 47.1631653))"
